date,year,month,day,totalPrecipMM,totalRainMM
2011-03-03,2011,3,3,0.6333333333333333,0.0
2011-03-04,2011,3,4,6.633333333333333,5.733333333333333
2011-03-05,2011,3,5,16.400000000000002,3.8666666666666667
2011-03-06,2011,3,6,0.7666666666666666,0.0
2011-03-07,2011,3,7,0.0,0.0
2011-03-08,2011,3,8,0.0,0.0
2011-03-09,2011,3,9,12.433333333333332,6.8
2011-03-10,2011,3,10,10.166666666666666,2.8000000000000003
2011-03-11,2011,3,11,9.233333333333333,0.0
2011-03-12,2011,3,12,0.5,0.09999999999999999
2011-03-13,2011,3,13,0.19999999999999998,0.0
2011-03-14,2011,3,14,0.0,0.0
2011-03-15,2011,3,15,2.033333333333333,1.0
2011-03-16,2011,3,16,0.9,0.39999999999999997
2011-03-17,2011,3,17,0.0,0.0
2011-03-18,2011,3,18,0.0,0.0
2011-03-19,2011,3,19,0.0,0.0
2011-03-20,2011,3,20,5.566666666666667,3.9333333333333336
2011-03-21,2011,3,21,3.3333333333333335,0.0
2011-03-22,2011,3,22,4.933333333333334,0.26666666666666666
2011-03-23,2011,3,23,2.733333333333333,0.0
2011-03-24,2011,3,24,0.0,0.0
2011-03-25,2011,3,25,0.0,0.0
2011-03-26,2011,3,26,0.0,0.0
2011-03-27,2011,3,27,0.19999999999999998,0.0
2011-03-28,2011,3,28,0.0,0.0
2011-03-29,2011,3,29,0.0,0.0
2011-03-30,2011,3,30,0.0,0.0
2011-03-31,2011,3,31,0.0,0.0
2011-04-01,2011,4,1,0.0,0.0
2011-04-02,2011,4,2,0.0,0.0
2011-04-03,2011,4,3,10.75,2.25
2011-04-04,2011,4,4,12.0,4.35
2011-04-05,2011,4,5,0.0,0.0
2011-04-06,2011,4,6,5.7,2.85
2011-04-07,2011,4,7,0.0,0.0
2011-04-08,2011,4,8,0.0,0.0
2011-04-09,2011,4,9,0.0,0.0
2011-04-10,2011,4,10,0.0,0.0
2011-04-11,2011,4,11,0.85,0.5
2011-04-12,2011,4,12,0.0,0.0
2011-04-13,2011,4,13,0.0,0.0
2011-04-14,2011,4,14,0.0,0.0
2011-04-15,2011,4,15,0.0,0.0
2011-04-16,2011,4,16,6.2,0.0
2011-04-17,2011,4,17,1.1,0.0
2011-04-18,2011,4,18,1.7,0.0
2011-04-19,2011,4,19,1.75,0.0
2011-04-20,2011,4,20,4.05,0.0
2011-04-21,2011,4,21,0.3,0.0
2011-04-22,2011,4,22,0.55,0.0
2011-04-23,2011,4,23,9.05,0.0
2011-04-24,2011,4,24,0.0,0.0
2011-04-25,2011,4,25,3.7,0.0
2011-04-26,2011,4,26,2.25,0.0
2011-04-27,2011,4,27,5.7,0.0
2011-04-28,2011,4,28,1.85,0.0
2011-04-29,2011,4,29,0.75,0.0
2011-04-30,2011,4,30,0.0,0.0
2011-05-01,2011,5,1,6.3,0.0
2011-05-02,2011,5,2,0.0,0.0
2011-05-03,2011,5,3,8.0,0.0
2011-05-04,2011,5,4,0.6,0.0
2011-05-05,2011,5,5,0.0,0.0
2011-05-06,2011,5,6,11.0,0.0
2011-05-07,2011,5,7,0.6,0.0
2011-05-08,2011,5,8,0.0,0.0
2011-05-09,2011,5,9,0.0,0.0
2011-05-10,2011,5,10,0.0,0.0
2011-05-11,2011,5,11,0.0,0.0
2011-05-12,2011,5,12,0.0,0.0
2011-05-13,2011,5,13,0.0,0.0
2011-05-14,2011,5,14,13.6,0.0
2011-05-15,2011,5,15,14.8,0.0
2011-05-16,2011,5,16,6.8,0.0
2011-05-17,2011,5,17,2.3,0.0
2011-05-18,2011,5,18,7.0,0.0
2011-05-19,2011,5,19,0.0,0.0
2011-05-20,2011,5,20,7.5,0.0
2011-05-21,2011,5,21,0.0,0.0
2011-05-22,2011,5,22,2.6,0.0
2011-05-23,2011,5,23,3.7,0.0
2011-05-24,2011,5,24,0.0,0.0
2011-05-25,2011,5,25,14.6,0.0
2011-05-26,2011,5,26,7.2,0.0
2011-05-27,2011,5,27,0.0,0.0
2011-05-28,2011,5,28,1.0,0.0
2011-05-29,2011,5,29,19.5,0.0
2011-05-30,2011,5,30,0.0,0.0
2011-05-31,2011,5,31,0.0,0.0
2011-06-01,2011,6,1,0.0,0.0
2011-06-02,2011,6,2,0.0,0.0
2011-06-03,2011,6,3,0.0,0.0
2011-06-04,2011,6,4,5.6,0.0
2011-06-05,2011,6,5,0.0,0.0
2011-06-06,2011,6,6,0.0,0.0
2011-06-07,2011,6,7,11.5,0.0
2011-06-08,2011,6,8,0.0,0.0
2011-06-09,2011,6,9,0.0,0.0
2011-06-10,2011,6,10,0.0,0.0
2011-06-11,2011,6,11,0.0,0.0
2011-06-12,2011,6,12,0.0,0.0
2011-06-13,2011,6,13,0.0,0.0
2011-06-14,2011,6,14,0.0,0.0
2011-06-15,2011,6,15,0.0,0.0
2011-06-16,2011,6,16,4.6,0.0
2011-06-17,2011,6,17,0.0,0.0
2011-06-18,2011,6,18,0.0,0.0
2011-06-19,2011,6,19,0.0,0.0
2011-06-20,2011,6,20,0.0,0.0
2011-06-21,2011,6,21,11.3,0.0
2011-06-22,2011,6,22,21.4,0.0
2011-06-23,2011,6,23,3.2,0.0
2011-06-24,2011,6,24,4.1,0.0
2011-06-25,2011,6,25,0.8,0.0
2011-06-26,2011,6,26,0.0,0.0
2011-06-27,2011,6,27,0.0,0.0
2011-06-28,2011,6,28,0.0,0.0
2011-06-29,2011,6,29,0.0,0.0
2011-06-30,2011,6,30,0.0,0.0
2011-07-01,2011,7,1,0.0,0.0
2011-07-02,2011,7,2,4.7,0.0
2011-07-03,2011,7,3,0.0,0.0
2011-07-04,2011,7,4,0.0,0.0
2011-07-05,2011,7,5,0.0,0.0
2011-07-06,2011,7,6,0.0,0.0
2011-07-07,2011,7,7,0.0,0.0
2011-07-08,2011,7,8,0.0,0.0
2011-07-09,2011,7,9,0.0,0.0
2011-07-10,2011,7,10,0.0,0.0
2011-07-11,2011,7,11,0.0,0.0
2011-07-12,2011,7,12,0.0,0.0
2011-07-13,2011,7,13,0.0,0.0
2011-07-14,2011,7,14,0.0,0.0
2011-07-15,2011,7,15,0.0,0.0
2011-07-16,2011,7,16,0.0,0.0
2011-07-17,2011,7,17,0.0,0.0
2011-07-18,2011,7,18,0.0,0.0
2011-07-19,2011,7,19,0.0,0.0
2011-07-20,2011,7,20,0.0,0.0
2011-07-21,2011,7,21,0.0,0.0
2011-07-22,2011,7,22,0.0,0.0
2011-07-23,2011,7,23,14.1,0.0
2011-07-24,2011,7,24,0.0,0.0
2011-07-25,2011,7,25,0.0,0.0
2011-07-26,2011,7,26,0.6,0.0
2011-07-27,2011,7,27,0.0,0.0
2011-07-28,2011,7,28,15.9,0.0
2011-07-29,2011,7,29,9.4,0.0
2011-07-30,2011,7,30,0.0,0.0
2011-07-31,2011,7,31,1.4,0.0
2011-08-01,2011,8,1,0.0,0.0
2011-08-02,2011,8,2,0.9,0.0
2011-08-03,2011,8,3,0.7,0.0
2011-08-04,2011,8,4,0.0,0.0
2011-08-05,2011,8,5,0.0,0.0
2011-08-06,2011,8,6,0.0,0.0
2011-08-07,2011,8,7,4.7,0.0
2011-08-08,2011,8,8,0.0,0.0
2011-08-09,2011,8,9,44.9,0.0
2011-08-10,2011,8,10,0.0,0.0
2011-08-11,2011,8,11,0.6,0.0
2011-08-12,2011,8,12,0.0,0.0
2011-08-13,2011,8,13,0.0,0.0
2011-08-14,2011,8,14,7.7,0.0
2011-08-15,2011,8,15,1.2,0.0
2011-08-16,2011,8,16,0.0,0.0
2011-08-17,2011,8,17,0.0,0.0
2011-08-18,2011,8,18,11.9,0.0
2011-08-19,2011,8,19,0.0,0.0
2011-08-20,2011,8,20,10.9,0.0
2011-08-21,2011,8,21,0.0,0.0
2011-08-22,2011,8,22,0.6,0.0
2011-08-23,2011,8,23,0.0,0.0
2011-08-24,2011,8,24,38.2,0.0
2011-08-25,2011,8,25,0.0,0.0
2011-08-26,2011,8,26,0.0,0.0
2011-08-27,2011,8,27,0.0,0.0
2011-08-28,2011,8,28,0.0,0.0
2011-08-29,2011,8,29,0.0,0.0
